row_type,hypothesis_id,symbol,asset_class,state,horizon_bars,segment,partition,reason_signature,momentum_state,sampling_view,count,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta,median_delta,delta_reference,length_min,length_median,length_max,share_largest_episode,share_three_largest,mean_delta_sign,median_delta_sign,timestamp,bars_since_previous_cross,status_h1,return_h1,status_h5,return_h5,status_h20,return_h20
episode_start,trend_crossover,SPY,equity,bullish,5,,,,,episode_start,25,25,0.0006508129762274528,0.0025591477986508515,-0.04752737403512497,0.021688683428193745,16,9,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,bullish,20,,,,,episode_start,25,25,0.006407693000208767,0.011075732685912554,-0.08532137479403046,0.06662931523008031,16,9,0,25,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,SPY,equity,bearish,,,,,,,25,,,,,,,,,25,,,,1,1.0,1,0.04,0.12,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,bearish,1,,,,,episode_start,25,25,0.0029831942587572025,0.0018090436491438044,-0.016654556901344097,0.02201747792330533,16,9,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,bearish,5,,,,,episode_start,25,25,-0.003864463431629508,0.006348915634953434,-0.10435693934476165,0.03762560558432648,14,11,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,bearish,20,,,,,episode_start,25,25,-0.005138937235056251,-0.00411817281909832,-0.1580099173158248,0.07208099495047882,11,14,0,25,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,SPY,equity,neutral,,,,,,,2466,,,,,,,,,50,,,,1,39.5,236,0.09570154095701541,0.18775344687753448,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,neutral,1,,,,,episode_start,50,50,-0.0002524104645671876,-0.0006553089066725359,-0.01601793313290023,0.02872353354756907,21,29,0,50,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,neutral,5,,,,,episode_start,50,50,-0.002739398304752194,0.00043188879965982974,-0.1004001066684278,0.0435586088452371,27,23,0,50,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,SPY,equity,neutral,20,,,,,episode_start,50,50,-0.0006220765376325365,0.0035291215589571268,-0.19289794403109595,0.09184742074419816,27,23,0,50,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,QQQ,equity,bullish,,,,,,,1732,,,,,,,,,27,,,,3,45.0,151,0.08718244803695151,0.25,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bullish,1,,,,,episode_start,27,27,0.0012821106309666768,0.0016162368747119071,-0.02678081689706513,0.015795496949454035,16,11,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bullish,5,,,,,episode_start,27,27,0.0015785872700761585,0.0012684640991533769,-0.04555034997179919,0.041780335386589984,16,11,0,27,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bullish,20,,,,,episode_start,27,27,0.005618214880344443,0.018155837308396316,-0.11924222035721344,0.06044647386293356,17,10,0,27,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,QQQ,equity,bearish,,,,,,,722,,,,,,,,,25,,,,4,23.0,73,0.10110803324099724,0.26869806094182824,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bearish,1,,,,,episode_start,25,25,0.0006851318107006721,0.005385648217216099,-0.032283014559627676,0.020503166735295508,15,10,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bearish,5,,,,,episode_start,25,25,0.00033806648653749604,0.0044295792169188886,-0.08633060540229243,0.04396935009284153,15,10,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,bearish,20,,,,,episode_start,25,25,0.018492100948235165,0.028533892335308675,-0.07743426313887225,0.10109246032205421,17,8,0,25,,,,,,,,,,,,,,,,,,
episode_summary,trend_alignment,QQQ,equity,neutral,,,,,,,62,,,,,,,,,41,,,,1,1.0,5,0.08064516129032258,0.20967741935483872,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,neutral,1,,,,,episode_start,41,41,-0.001524344372045687,-8.407275891264554e-05,-0.038992881050585626,0.022112053546578636,20,21,0,41,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,neutral,5,,,,,episode_start,41,41,0.0019345326181206695,0.002227842701047811,-0.0731899162307783,0.0525457729977743,22,19,0,41,,,,,,,,,,,,,,,,,,
episode_start,trend_alignment,QQQ,equity,neutral,20,,,,,episode_start,41,41,0.010122798111341404,0.016964053459813444,-0.13319374285515628,0.09533234015241443,28,13,0,41,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,QQQ,equity,bullish,,,,,,,1187,,,,,,,,,115,,,,1,6.0,60,0.05054759898904802,0.12805391743892164,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bullish,1,,,,,episode_start,115,115,0.0009790456766764705,0.0005971651091558616,-0.02678081689706513,0.02714677978109381,65,50,0,115,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bullish,5,,,,,episode_start,115,115,0.0036276448142614527,0.007572789436931959,-0.06425960781970463,0.05700861241312549,69,46,0,115,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bullish,20,,,,,episode_start,115,115,0.008640958360048304,0.013375895934398141,-0.14661228842673657,0.13276946735966466,71,44,0,115,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,QQQ,equity,bearish,,,,,,,288,,,,,,,,,52,,,,1,4.0,27,0.09375,0.20833333333333334,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bearish,1,,,,,episode_start,52,52,-0.0006920807260856093,-0.0019290724979151852,-0.032283014559627676,0.03149937071912978,23,29,0,52,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bearish,5,,,,,episode_start,52,52,-0.003934569991597965,0.0004457407295034299,-0.08633060540229243,0.10665416709989994,26,25,1,52,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,bearish,20,,,,,episode_start,52,52,0.02863988977917115,0.03065153527399822,-0.10681131322406212,0.20784593371890026,37,15,0,52,,,,,,,,,,,,,,,,,,
episode_summary,momentum_in_trend_context,QQQ,equity,neutral,,,,,,,1041,,,,,,,,,168,,,,1,3.5,37,0.03554274735830932,0.09702209414024976,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,neutral,1,,,,,episode_start,168,168,3.478035335491887e-05,0.001066115553738145,-0.037426616616476616,0.023671264131063463,91,76,1,168,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,neutral,5,,,,,episode_start,168,168,0.004871377484252729,0.007517427276973354,-0.10250027897252889,0.08251143792394955,113,55,0,168,,,,,,,,,,,,,,,,,,
episode_start,momentum_in_trend_context,QQQ,equity,neutral,20,,,,,episode_start,168,168,0.016313456976722394,0.016886906457527773,-0.23646133610809772,0.14653733222425114,112,55,1,168,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,QQQ,equity,bullish,,,,,,,25,,,,,,,,,25,,,,1,1.0,1,0.04,0.12,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bullish,1,,,,,episode_start,25,25,0.0012572507722576499,0.0010651084083699303,-0.02678081689706513,0.022112053546578636,15,10,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bullish,5,,,,,episode_start,25,25,0.0033040432653031627,0.005295429494442505,-0.04555034997179919,0.0525457729977743,16,9,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bullish,20,,,,,episode_start,25,25,0.009953842845920456,0.02365917827196684,-0.11924222035721344,0.06044647386293356,17,8,0,25,,,,,,,,,,,,,,,,,,
episode_summary,trend_crossover,QQQ,equity,bearish,,,,,,,25,,,,,,,,,25,,,,1,1.0,1,0.04,0.12,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bearish,1,,,,,episode_start,25,25,-0.0032370731968153566,-0.0023676342288185825,-0.032283014559627676,0.020503166735295508,10,15,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bearish,5,,,,,episode_start,25,25,-0.0030844689623593167,0.0008914814590068598,-0.08633060540229243,0.03754458387109927,13,12,0,25,,,,,,,,,,,,,,,,,,
episode_start,trend_crossover,QQQ,equity,bearish,20,,,,,episode_start,25,25,0.015268340532185927,0.028533892335308675,-0.10681131322406212,0.10109246032205421,17,8,0,25,,,,,,,,,,,,,,,,,,
