row_type,hypothesis_id,hypothesis_version,hypothesis_fingerprint,symbol,horizon_bars,spec_fingerprint,state,reason_signature,sample_count,mean_forward_return,median_forward_return,min_forward_return,max_forward_return,positive_count,negative_count,zero_count,episode_count,mean_delta_vs_matched_unconditional,median_delta_vs_matched_unconditional,first_evaluated_timestamp,last_evaluated_timestamp,total_observations,bullish_count,bearish_count,neutral_count,insufficient_data_count,evaluated,insufficient_future_data,no_reference_bar,ineligible,bars_fetched,warmup_bars,observation_bars,outcome_buffer_bars
coverage,trend_alignment,1,650add07184f8440,TLT,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1161,1243,112,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,TLT,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1161,1243,112,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,TLT,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,599,696,1221,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,TLT,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,599,696,1221,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,TLT,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,599,696,1221,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,TLT,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,28,29,2459,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,TLT,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,28,29,2459,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,TLT,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,28,29,2459,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,GLD,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,1325,1099,92,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,GLD,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,1325,1099,92,0,2516,0,0,0,2640,85,2516,39
coverage,trend_alignment,1,650add07184f8440,GLD,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,1325,1099,92,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,GLD,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,787,496,1233,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,GLD,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,787,496,1233,0,2516,0,0,0,2640,85,2516,39
coverage,momentum_in_trend_context,1,6589cb8021b76574,GLD,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,787,496,1233,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,GLD,1,83e9dabf9b4e27de,,,,,,,,,,,,,,,,2516,27,28,2461,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,GLD,5,b586481caf972d58,,,,,,,,,,,,,,,,2516,27,28,2461,0,2516,0,0,0,2640,85,2516,39
coverage,trend_crossover,1,f1126ca778e6f7ce,GLD,20,a040ca488aa3f51f,,,,,,,,,,,,,,,,2516,27,28,2461,0,2516,0,0,0,2640,85,2516,39
matched_unconditional,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,all,,2516,0.00018713442415378942,0.0005052889501334645,-0.05661153587863332,0.047994072837921564,1356,1146,14,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,bullish,,1709,7.217793177056916e-05,0.00046266730962218894,-0.038729914945676236,0.036484374080576254,922,776,11,26,-0.00011495649238322026,-4.2621640511275594e-05,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,bearish,,724,0.0003127942979467542,0.0005685267483094281,-0.05661153587863332,0.047994072837921564,383,338,3,23,0.0001256598737929648,6.323779817596353e-05,2015-01-12T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,neutral,,83,0.0014580126995371256,0.0011609018518414782,-0.012944505019818364,0.02201747792330533,51,32,0,39,0.0012708782753833362,0.0006556129017080137,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
neutral_reason,trend_alignment,1,650add07184f8440,SPY,1,83e9dabf9b4e27de,neutral,trend_margin_below_threshold,83,0.0014580126995371256,0.0011609018518414782,-0.012944505019818364,0.02201747792330533,51,32,0,39,0.0012708782753833362,0.0006556129017080137,2015-01-07T05:00:00+00:00,2024-09-03T04:00:00+00:00,,,,,,,,,,,,,
matched_unconditional,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,all,,2516,0.0020971210387160173,0.0037472059072714003,-0.15735668296758132,0.11762305171795329,1507,1006,3,1,,,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,bullish,,1709,0.001667495205981526,0.0034531645245867715,-0.11395796127196078,0.06689408899943938,1031,676,2,26,-0.0004296258327344913,-0.00029404138268462887,2015-01-02T05:00:00+00:00,2024-12-31T05:00:00+00:00,,,,,,,,,,,,,
state,trend_alignment,1,650add07184f8440,SPY,5,b586481caf972d58,bearish,,724,0.0034187791261713154,0.005435728456390065,-0.15735668296758132,0.11762305171795329,421,302,1,23,0.001321658087455298,0.001688522549118665,2015-01-12T05:00:00+00:00,2024-08-30T04:00:00+00:00,,,,,,,,,,,,,
